data_hora,cidade,temperatura,umidade,precipitacao,precipitacao_24h,ndwi,risco_previsto
2026-05-10 13:00:00,Sao_Paulo,16.5,80.0,0.2,2.3,-0.2542796246003193,Baixo
2026-05-10 14:00:00,Sao_Paulo,15.9,81.0,0.5,2.8,-0.2542796246003193,Baixo
2026-05-10 15:00:00,Sao_Paulo,15.0,85.0,0.3,3.1,-0.2542796246003193,Baixo
2026-05-10 16:00:00,Sao_Paulo,14.6,87.0,1.6,4.7,-0.2542796246003193,Baixo
2026-05-10 17:00:00,Sao_Paulo,13.6,95.0,3.1,7.800000000000001,-0.2542796246003193,Baixo
2026-05-10 18:00:00,Sao_Paulo,13.1,95.0,1.6,9.4,-0.2542796246003193,Baixo
2026-05-10 19:00:00,Sao_Paulo,12.9,96.0,1.9,11.3,-0.2542796246003193,Baixo
2026-05-10 20:00:00,Sao_Paulo,13.4,94.0,0.5,11.8,-0.2542796246003193,Baixo
2026-05-10 21:00:00,Sao_Paulo,13.6,92.0,0.3,12.1,-0.2542796246003193,Baixo
2026-05-10 22:00:00,Sao_Paulo,13.6,93.0,0.4,12.5,-0.2542796246003193,Baixo
2026-05-10 23:00:00,Sao_Paulo,13.2,95.0,0.1,12.6,-0.2542796246003193,Baixo
2026-05-11 00:00:00,Sao_Paulo,12.6,92.0,0.0,12.6,-0.2542796246003193,Baixo
2026-05-11 01:00:00,Sao_Paulo,11.9,92.0,0.0,12.6,-0.2542796246003193,Baixo
2026-05-11 02:00:00,Sao_Paulo,11.3,93.0,0.0,12.5,-0.2542796246003193,Baixo
2026-05-11 03:00:00,Sao_Paulo,10.3,94.0,0.0,12.4,-0.2542796246003193,Baixo
2026-05-11 04:00:00,Sao_Paulo,9.8,93.0,0.0,12.4,-0.2542796246003193,Baixo
2026-05-11 05:00:00,Sao_Paulo,9.4,93.0,0.0,12.4,-0.2542796246003193,Baixo
2026-05-11 06:00:00,Sao_Paulo,9.1,93.0,0.0,12.1,-0.2542796246003193,Baixo
2026-05-11 07:00:00,Sao_Paulo,8.9,93.0,0.0,11.7,-0.2542796246003193,Baixo
2026-05-11 08:00:00,Sao_Paulo,9.8,87.0,0.0,11.3,-0.2542796246003193,Baixo
2026-05-11 09:00:00,Sao_Paulo,11.4,77.0,0.0,10.7,-0.2542796246003193,Baixo
2026-05-11 10:00:00,Sao_Paulo,13.1,70.0,0.0,10.6,-0.2542796246003193,Baixo
2026-05-11 11:00:00,Sao_Paulo,14.6,63.0,0.0,10.6,-0.2542796246003193,Baixo
2026-05-11 12:00:00,Sao_Paulo,16.0,56.0,0.0,10.5,-0.2542796246003193,Baixo
2026-05-11 13:00:00,Sao_Paulo,17.2,52.0,0.0,10.3,-0.2542796246003193,Baixo
2026-05-11 14:00:00,Sao_Paulo,18.0,49.0,0.0,9.8,-0.2542796246003193,Baixo
2026-05-11 15:00:00,Sao_Paulo,18.1,46.0,0.0,9.5,-0.2542796246003193,Baixo
2026-05-11 16:00:00,Sao_Paulo,18.0,47.0,0.0,7.9,-0.2542796246003193,Baixo
2026-05-11 17:00:00,Sao_Paulo,17.3,53.0,0.0,4.800000000000001,-0.2542796246003193,Baixo
2026-05-11 18:00:00,Sao_Paulo,16.7,60.0,0.0,3.2,-0.2542796246003193,Baixo
2026-05-11 19:00:00,Sao_Paulo,15.1,70.0,0.0,1.3,-0.2542796246003193,Baixo
2026-05-11 20:00:00,Sao_Paulo,14.0,80.0,0.0,0.8,-0.2542796246003193,Baixo
2026-05-11 21:00:00,Sao_Paulo,12.3,91.0,0.0,0.5,-0.2542796246003193,Baixo
2026-05-11 22:00:00,Sao_Paulo,11.8,94.0,0.0,0.1,-0.2542796246003193,Baixo
2026-05-11 23:00:00,Sao_Paulo,11.4,96.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 00:00:00,Sao_Paulo,10.7,99.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 01:00:00,Sao_Paulo,10.5,98.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 02:00:00,Sao_Paulo,10.2,97.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 03:00:00,Sao_Paulo,9.9,94.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 04:00:00,Sao_Paulo,9.7,91.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 05:00:00,Sao_Paulo,9.1,91.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 06:00:00,Sao_Paulo,8.6,91.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 07:00:00,Sao_Paulo,8.4,93.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 08:00:00,Sao_Paulo,9.3,88.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 09:00:00,Sao_Paulo,10.9,89.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 10:00:00,Sao_Paulo,12.9,78.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 11:00:00,Sao_Paulo,14.9,70.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 12:00:00,Sao_Paulo,16.5,61.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 13:00:00,Sao_Paulo,18.0,56.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 14:00:00,Sao_Paulo,18.9,52.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 15:00:00,Sao_Paulo,19.6,44.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 16:00:00,Sao_Paulo,19.7,43.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 17:00:00,Sao_Paulo,18.9,53.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 18:00:00,Sao_Paulo,17.5,61.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 19:00:00,Sao_Paulo,15.9,70.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 20:00:00,Sao_Paulo,14.9,74.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 21:00:00,Sao_Paulo,14.1,84.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 22:00:00,Sao_Paulo,13.2,88.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-12 23:00:00,Sao_Paulo,12.9,89.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 00:00:00,Sao_Paulo,12.4,90.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 01:00:00,Sao_Paulo,11.9,90.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 02:00:00,Sao_Paulo,10.1,99.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 03:00:00,Sao_Paulo,9.4,99.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 04:00:00,Sao_Paulo,9.2,99.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 05:00:00,Sao_Paulo,8.8,99.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 06:00:00,Sao_Paulo,9.2,98.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 07:00:00,Sao_Paulo,9.3,97.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 08:00:00,Sao_Paulo,10.4,92.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 09:00:00,Sao_Paulo,12.8,86.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 10:00:00,Sao_Paulo,16.5,73.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 11:00:00,Sao_Paulo,19.9,61.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 12:00:00,Sao_Paulo,22.2,48.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 13:00:00,Sao_Paulo,23.6,39.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 14:00:00,Sao_Paulo,24.0,36.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 15:00:00,Sao_Paulo,24.0,34.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 16:00:00,Sao_Paulo,23.3,33.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 17:00:00,Sao_Paulo,22.2,41.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 18:00:00,Sao_Paulo,20.2,51.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 19:00:00,Sao_Paulo,18.5,64.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 20:00:00,Sao_Paulo,17.4,75.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 21:00:00,Sao_Paulo,16.6,82.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 22:00:00,Sao_Paulo,15.9,87.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-13 23:00:00,Sao_Paulo,15.4,89.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 00:00:00,Sao_Paulo,14.8,92.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 01:00:00,Sao_Paulo,14.3,94.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 02:00:00,Sao_Paulo,13.8,97.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 03:00:00,Sao_Paulo,13.4,97.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 04:00:00,Sao_Paulo,13.4,95.0,0.0,0.0,-0.2542796246003193,Baixo
2026-05-14 05:00:00,Sao_Paulo,13.2,94.0,0.0,0.0,-0.2542796246003193,Baixo
